_id,large_category,middle_category,small_category,image_url,title,old_price,new_price,discount_rate,review_count,isSoldout
66320062f77a808f7991364c,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/9e5ac57a7112e161980b03f534a7e99f.jpg,[골든베어X위글위글] 반팔 크롭 폴로셔츠 - YELLOW,98000,68600,,4,false
66320062f77a808f7991364d,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/987eb396ad210c9d63ecd305fe3348c3.jpg,[골든베어X위글위글] 나일론 스트레치 반팔 티셔츠 - GREEN,88000,61600,,2,false
66320062f77a808f7991364e,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/dc218614f9b997ac9784b10bdac1d1f5.jpg,[골든베어X위글위글] 반팔 크롭 폴로셔츠 - PINK,98000,68600,,2,false
66320062f77a808f7991364f,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/87a5ed0973dd1f2f1c3a206529271470.jpg,[골든베어X위글위글] 플레어 저지 스커트 - WHITE,88000,61600,,2,false
66320062f77a808f79913650,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/5b33ef1338eb43c97c18c3b6e0e015c7.jpg,[골든베어X위글위글] 나일론 카고 쇼츠 - GREEN,88000,61600,,2,false
66320062f77a808f79913651,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/655753357e3e23aac9a70d1a4239c77f.jpg,[골든베어X위글위글] 나일론 스트레치 반팔 티셔츠 - RED,88000,61600,,2,false
66320062f77a808f79913652,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/9628980e13862d637c5a494c46cad100.jpg,[골든베어X위글위글] 나일론 카고 쇼츠 - RED,88000,61600,,2,false
6632006bf77a808f79913654,outdoor,스포츠,테니스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202304/8771e1247b34314d51ee7bf42691030d.jpg,테니스 댐프너 - 4종 SET,18900,14900,,99,false
66320074f77a808f79913656,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202308/68da1426be7a34c2e5bb24b1dd3a446e.jpg,[주문제작] 갤럭시Z플립5 투명케이스,23000,17200,,64,false
66320074f77a808f79913657,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/2c8f37dfcd0101c7bed84b5925d42364.jpg,[주문제작]투명 카드케이스 - Funny Puppy,25000,19500,,7,false
66320074f77a808f79913658,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/01a6c4fa6d9eb3f3f2d454ff4447a3d5.jpg,[주문제작]투명 카드케이스 - Calming Turtle,25000,19500,,20,false
66320074f77a808f79913659,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/9afaf2745ed1a413e895dd3aa94b15f3.jpg,[주문제작]투명 카드케이스 - Sweet Candy,25000,19500,,12,false
66320074f77a808f7991365a,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202304/ae6d4fec1ee0d2f74de4e9b369ec1d8e.jpg,[주문제작] 투명 카드케이스 - Fluffy Rabbit,25000,19500,,5,false
66320074f77a808f7991365b,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202304/bb4321533dc85c45f369043a5c6ddf5d.jpg,[주문제작] 투명 카드케이스 - Little Play Bunny,25000,19500,,26,false
66320074f77a808f7991365c,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202210/3cb874c23441673a3257de02cf5bafba.jpg,[주문제작]투명 카드케이스 - Honey Bee,25000,19500,,403,false
66320074f77a808f7991365d,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202210/95e607bb849555b29f8e56cebe0d2df5.jpg,[주문제작]투명 카드케이스 - Couch Potato,25000,19500,,403,false
66320074f77a808f7991365e,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202210/4a5c9789cef0ff774bfc8f3820427e6f.jpg,[주문제작] 갤럭시Z플립 투명케이스 4,23000,17200,,51,false
66320074f77a808f7991365f,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202210/4c49cb2650e25b2171c742c8b35d6a08.jpg,[주문제작] 투명케이스 - Honey Bee,23000,17200,,71,false
66320074f77a808f79913660,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202210/2f0e70016b9a3ebf3490c174abe851d0.jpg,[주문제작] 투명케이스 - Couch Potato,23000,17200,,42,false
66320074f77a808f79913661,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202209/86d8f5919d476c90513c0d26f096ff34.png,[주문제작]투명 카드케이스 - Jelly Happy Mix,25000,19500,,403,false
66320074f77a808f79913662,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/78f49f8586b57e06e0d665daa89fc9ae.jpg,[주문제작]투명 카드케이스 - Balloon Bear,25000,19500,,403,false
66320074f77a808f79913663,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202209/400c8cf830260ed01e86e871326ee4e5.png,[주문제작]투명 카드케이스 - Twinkle Smile,25000,19500,,403,false
66320074f77a808f79913664,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202206/cd6c97e8e9026211f9d55de2076aa992.png,[주문제작] 갤럭시Z플립 투명케이스 3,23000,17200,,53,false
66320074f77a808f79913665,digital,모바일,폰케이스,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202206/f87fae6f524acb4953503fb20780022f.png,[주문제작] 투명케이스 - Balloon,23000,17200,,43,false
